,country,points,price,province,region_1,taster_name,variety,descLen,compound,year
6131,3,84,15.0,7,25,6,5,178,0.5859,2013.0
1302,1,87,25.0,3,80,3,24,218,0.5267,2008.0
3075,3,89,38.0,4,7,12,47,328,0.8805,2012.0
4823,3,91,44.0,4,81,4,4,284,0.6625,2013.0
9717,2,91,25.0,6,91,2,20,175,0.9377,2010.0
2058,3,88,20.0,4,58,4,18,244,0.6808,2010.0
2966,5,92,25.0,12,375,8,14,279,0.7579,2009.0
4472,3,90,105.0,23,75,10,4,183,0.7506,2013.0
1679,3,90,16.0,23,299,10,18,308,0.9246,2015.0
7024,3,87,35.0,5,6,5,26,261,0.0,2010.0
7229,6,84,14.0,13,127,9,15,256,-0.5423,2014.0
3729,1,86,15.0,3,130,3,15,193,0.8555,2008.0
6184,3,91,30.0,7,25,10,18,234,0.4144,2011.0
6311,3,89,40.0,23,40,10,4,219,0.0,2009.0
2148,3,86,100.0,4,105,12,15,226,0.5859,2011.0
7899,3,87,20.0,4,133,11,2,186,0.9371,2016.0
5634,2,85,75.0,6,189,2,20,222,-0.4019,2013.0
7670,1,88,28.0,55,93,3,23,284,0.8805,2005.0
1732,2,95,375.0,6,209,2,20,207,0.9619,2009.0
7047,12,91,23.0,59,11,2,28,281,0.4215,2012.0
7715,1,90,29.0,3,3,1,18,251,0.0,2012.0
5933,3,83,16.0,4,7,3,2,92,0.0,2007.0
3494,18,89,12.0,72,11,15,18,262,0.8658,2013.0
9291,2,88,54.0,6,181,2,20,208,0.8316,2011.0
9715,1,90,18.0,19,720,1,94,235,0.0,2011.0
1349,2,84,30.0,41,272,2,5,171,0.7783,2013.0
8533,3,83,42.0,4,7,3,81,139,0.2263,2012.0
856,2,89,45.0,41,251,2,4,225,0.743,2015.0
2525,3,84,24.0,4,366,4,131,243,0.5423,2013.0
7090,3,83,30.0,4,5,3,47,177,0.6808,2004.0
9110,2,85,25.0,52,253,2,2,198,0.8122,2014.0
7735,1,91,22.0,3,3,1,3,217,0.4404,2013.0
7298,1,90,30.0,1,1,3,59,269,0.8225,2008.0
2726,1,94,60.0,19,27,1,25,278,0.0,2011.0
6833,3,81,25.0,4,132,3,11,146,0.0,2007.0
918,11,86,16.0,29,193,9,18,245,0.5927,2008.0
452,3,94,50.0,7,172,10,20,335,0.8176,2010.0
6146,3,92,56.0,4,118,12,4,347,0.7096,2014.0
7928,3,87,35.0,47,263,18,12,216,0.7506,2012.0
450,1,86,11.0,37,59,3,35,230,0.8176,2007.0
789,11,92,24.0,25,98,9,109,334,0.8225,2011.0
9716,2,86,13.0,48,268,2,2,268,0.8271,2015.0
8175,1,88,86.0,10,18,1,18,230,0.7096,2009.0
4061,3,87,35.0,4,7,3,11,174,0.5574,2009.0
2696,3,86,32.0,7,88,10,19,227,0.5106,2008.0
2904,2,93,110.0,6,95,2,20,161,0.8479,2008.0
282,3,91,50.0,23,35,10,23,414,0.9423,2011.0
9341,8,89,14.0,66,11,13,188,249,0.9809,2013.0
3994,3,89,35.0,23,40,10,4,207,0.4215,2007.0
3717,4,90,25.0,78,11,7,13,299,0.8608,2007.0
5680,6,90,50.0,13,127,9,19,380,0.9632,2004.0
8771,2,86,22.0,41,294,2,5,150,0.4404,2012.0
5013,3,86,12.0,4,58,11,4,202,0.8885,2013.0
6109,3,85,25.0,7,88,6,55,147,0.4588,2013.0
6985,2,88,20.0,2,289,2,9,179,0.5574,2014.0
1949,6,87,30.0,13,163,9,9,262,0.7351,2015.0
582,12,88,24.0,42,11,2,40,179,0.4404,2011.0
2091,3,88,20.0,7,25,10,22,266,-0.321,2013.0
8183,3,91,40.0,4,7,3,20,390,0.8952,2010.0
2752,3,86,55.0,23,40,10,4,187,-0.4215,2014.0
4149,3,85,54.0,4,23,4,20,207,0.34,2011.0
8507,3,89,50.0,23,37,10,4,235,-0.1531,2014.0
6589,3,91,50.0,4,168,12,102,260,0.0,2012.0
1191,1,87,25.0,37,59,3,108,162,0.765,2009.0
1954,3,81,48.0,4,4,3,4,136,0.0,2010.0
2019,1,89,21.0,3,386,1,18,308,0.8834,2014.0
161,3,82,19.0,7,25,6,2,172,0.5563,2016.0
1319,12,88,20.0,40,11,2,86,216,0.2363,2014.0
457,3,83,18.0,4,36,4,26,125,0.0,2012.0
7648,3,85,48.0,4,23,3,15,309,0.1154,2003.0
6906,17,89,50.0,80,11,17,11,283,0.4215,2012.0
3672,1,90,60.0,3,155,1,18,333,0.0,2011.0
2700,3,87,22.0,4,108,3,5,212,0.0258,2006.0
7253,2,87,17.0,6,304,2,20,185,0.8857,2005.0
